BMID_Experiment,X,Y,Z
,-50,4,-8
,-56,-14,0
,42,-28,8
,44,2,28
,50,-2,-4
,54,-38,0
,54,-48,-12
,56,-44,4
,58,-22,4
,8,12,40
5070099_5,-24,-6,-24
,-24,10,-24
,-30,18,48
,-38,26,-4
,-38,4,28
,-40,-48,-20
,-42,-28,-16
,-42,16,8
,-44,-34,4
,-44,-58,-16
,-46,22,12
,-48,36,8
,-50,-44,-8
,-54,-32,-12
,-54,-4,-4
,-56,-16,0
,-6,20,52
,30,32,-8
,34,-46,-20
,54,-26,4
,54,-36,0
,56,-10,-4
,58,-44,-12
5070120_3,-10,-72,56
,-23,-4,52
,-25,-62,53
,-27,-74,36
,-32,36,29
,-36,-47,52
,-38,-32,46
,-38,-7,50
,-38,2,30
,-4,4,47
,-44,-17,51
,-57,-2,32
,1,-53,52
,18,-65,55
,2,21,43
,26,28,20
,28,-12,57
,3,-72,29
,33,-57,52
,37,-76,31
,37,1,38
,39,-2,51
,39,-48,55
,41,18,25
,54,5,33
5070121_1,-2,0,65
,-26,-55,57
,-29,-4,56
,-41,-72,8
,-42,2,35
,1,-63,55
,1,-79,-6
,31,-57,56
,34,-2,56
,4,-82,20
,44,2,36
,47,-69,6
5070124_1,-11,-98,14
,-16,-81,-14
,-18,-88,22
,-23,-85,-14
,-24,-60,51
,-26,-70,34
,-26,-80,26
,-30,51,-23
,-33,55,-1
,-35,-57,42
,-35,-86,5
,-38,47,-18
,-39,-41,45
,-40,-72,-10
,-40,11,26
,-42,31,11
,-49,-55,-12
,-57,-43,-13
,1,33,32
,14,-83,-10
,22,51,-23
,27,-58,-17
,28,-78,21
,31,54,3
,32,-90,4
,33,-70,-16
,34,-51,49
,34,-64,46
,38,15,43
,40,-82,-2
,44,33,14
,45,13,20
,49,-46,39
,55,-51,-14
,59,-38,-20
5070130_1,-21,-90,-3
,-24,-18,3
,-24,0,-3
,-42,-63,-15
,-45,9,27
,-48,39,15
,-51,-33,39
,24,18,-6
,36,-63,-18
,45,15,18
,48,-75,-12
5070131_2,-11,-78,38
,-27,8,47
,-31,3,47
,-34,-62,39
,-38,1,39
,-42,-42,39
,17,-70,41
,27,8,45
,30,3,47
,37,-61,37
,4,4,40
,44,-46,39
,56,11,39
5070148_2,-20,-62,18
,-22,6,62
,-26,-64,50
,-26,-80,28
,-38,14,26
,-38,24,-4
