Name parcel,Strength of involvement across LCs 1-3,"MNI coordinates(x,y,z)",,
17Networks_LH_ContA_PFCl_3,0.00,-40,8,34
17Networks_LH_ContA_Cingm_1,0.00,-4,6,28
17Networks_LH_DefaultB_Temp_1,0.00,-44,12,-34
17Networks_LH_DefaultB_Temp_2,0.00,-54,-2,-30
17Networks_LH_DefaultB_Temp_3,0.00,-62,-18,-20
17Networks_LH_DefaultB_Temp_4,0.00,-56,-8,-14
17Networks_LH_DefaultB_Temp_5,0.00,-60,-34,-4
17Networks_LH_DefaultB_Temp_6,0.00,-52,-22,-6
17Networks_LH_DefaultB_IPL_1,0.00,-46,-58,20
17Networks_LH_DefaultB_IPL_2,0.00,-56,-54,30
17Networks_LH_DefaultB_PFCd_1,0.00,-4,52,28
17Networks_LH_DefaultB_PFCd_2,0.00,-14,58,30
17Networks_LH_DefaultB_PFCd_3,0.00,-22,50,32
17Networks_LH_DefaultB_PFCd_4,0.00,-8,42,52
17Networks_LH_DefaultB_PFCd_5,0.00,-12,24,60
17Networks_LH_DefaultB_PFCd_6,0.00,-6,10,64
17Networks_LH_DefaultB_PFCl_1,0.00,-40,20,48
17Networks_LH_DefaultB_PFCl_2,0.00,-42,8,48
17Networks_LH_DefaultB_PFCv_1,0.00,-36,22,-16
17Networks_LH_DefaultB_PFCv_2,0.00,-36,36,-12
17Networks_LH_DefaultB_PFCv_3,0.00,-46,32,-10
17Networks_LH_DefaultB_PFCv_4,0.00,-48,28,0
17Networks_LH_DefaultB_PFCv_5,0.00,-54,20,12
17Networks_LH_DefaultC_IPL_1,0.00,-40,-78,30
17Networks_LH_DefaultC_Rsp_1,0.00,-14,-48,4
17Networks_LH_DefaultC_Rsp_2,0.00,-8,-52,10
17Networks_LH_DefaultC_Rsp_3,0.00,-14,-60,18
17Networks_LH_DefaultC_PHC_1,0.00,-20,-20,-26
17Networks_LH_DefaultC_PHC_2,0.00,-30,-32,-18
17Networks_LH_DefaultC_PHC_3,0.00,-18,-38,-12
17Networks_LH_TempPar_1,0.00,-52,6,-12
17Networks_LH_TempPar_2,0.00,-60,-12,-2
17Networks_LH_TempPar_3,0.00,-62,-32,6
17Networks_LH_TempPar_4,0.00,-52,-44,4
17Networks_LH_TempPar_5,0.00,-58,-54,10
17Networks_LH_TempPar_6,0.00,-58,-48,16
17Networks_RH_DorsAttnA_TempOcc_1,0.00,34,-36,-24
17Networks_RH_DorsAttnA_TempOcc_2,0.00,50,-50,-18
17Networks_RH_DorsAttnA_TempOcc_3,0.00,50,-64,-10
17Networks_RH_DorsAttnA_ParOcc_1,0.00,48,-66,4
17Networks_RH_DorsAttnA_ParOcc_2,0.00,54,-56,12
17Networks_RH_DorsAttnA_ParOcc_3,0.00,36,-78,24
17Networks_RH_DorsAttnA_SPL_1,0.00,30,-78,36
17Networks_RH_DorsAttnA_SPL_2,0.00,32,-66,36
17Networks_RH_DorsAttnA_SPL_3,0.00,18,-78,50
17Networks_RH_DorsAttnA_SPL_4,0.00,30,-64,52
17Networks_RH_DorsAttnA_SPL_5,0.00,20,-68,52
17Networks_RH_DorsAttnA_SPL_6,0.00,34,-50,54
17Networks_RH_DorsAttnA_SPL_7,0.00,26,-58,60
17Networks_RH_DorsAttnA_SPL_8,0.00,14,-64,64
17Networks_RH_SalVentAttnA_ParOper_1,0.00,58,-32,24
17Networks_RH_SalVentAttnA_ParOper_2,0.00,60,-22,22
17Networks_RH_SalVentAttnA_ParOper_3,0.00,62,-26,38
17Networks_RH_SalVentAttnA_PrC_1,0.00,52,4,40
17Networks_RH_SalVentAttnA_Ins_1,0.00,40,6,-16
17Networks_RH_SalVentAttnA_Ins_2,0.00,40,8,-2
17Networks_RH_SalVentAttnA_Ins_3,0.00,40,-10,-4
17Networks_RH_SalVentAttnA_Ins_4,0.00,40,-2,6
17Networks_RH_SalVentAttnA_FrOper_1,0.00,38,8,10
17Networks_RH_SalVentAttnA_FrOper_2,0.00,48,4,4
17Networks_RH_SalVentAttnA_FrOper_3,0.00,54,12,12
17Networks_RH_SalVentAttnA_FrMed_1,0.00,8,2,42
17Networks_RH_SalVentAttnA_ParMed_1,0.00,12,-18,42
17Networks_RH_SalVentAttnA_ParMed_2,0.00,12,-34,42
17Networks_RH_SalVentAttnA_FrMed_2,0.00,6,10,58
17Networks_RH_SalVentAttnA_ParMed_3,0.00,10,-44,54
17Networks_RH_SalVentAttnA_ParMed_4,0.00,10,-32,50
17Networks_RH_SalVentAttnA_FrMed_3,0.00,6,-2,66
17Networks_RH_SalVentAttnA_FrMed_4,0.00,16,6,70
17Networks_RH_SalVentAttnB_IPL_1,0.00,62,-38,36
17Networks_RH_SalVentAttnB_PFClv_1,0.00,50,40,6
17Networks_RH_SalVentAttnB_PFCl_1,0.00,42,46,14
17Networks_RH_SalVentAttnB_PFCl_2,0.00,26,54,24
17Networks_RH_SalVentAttnB_PFCl_3,0.00,32,44,28
17Networks_RH_SalVentAttnB_Ins_1,0.00,34,22,-8
17Networks_RH_SalVentAttnB_Ins_2,0.00,36,22,4
17Networks_RH_SalVentAttnB_PFCmp_1,0.00,8,34,24
17Networks_RH_SalVentAttnB_PFCmp_2,0.00,8,18,36
17Networks_RH_LimbicB_OFC_1,0.00,14,24,-20
17Networks_RH_LimbicB_OFC_2,0.00,22,22,-20
17Networks_RH_LimbicB_OFC_3,0.00,8,46,-24
17Networks_RH_LimbicB_OFC_4,0.00,20,42,-18
17Networks_RH_LimbicB_OFC_5,0.00,4,22,-20
17Networks_RH_LimbicB_OFC_6,0.00,10,62,-14
17Networks_RH_LimbicA_TempPole_1,0.00,28,-2,-40
17Networks_RH_LimbicA_TempPole_2,0.00,48,-6,-40
17Networks_RH_LimbicA_TempPole_3,0.00,36,18,-38
17Networks_RH_LimbicA_TempPole_4,0.00,40,-14,-32
17Networks_RH_LimbicA_TempPole_5,0.00,28,12,-30
17Networks_RH_LimbicA_TempPole_6,0.00,50,-28,-26
17Networks_RH_ContA_IPS_1,0.00,36,-70,46
17Networks_RH_ContA_IPS_2,0.00,54,-32,52
17Networks_RH_ContA_IPS_3,0.00,46,-44,46
17Networks_RH_ContA_IPS_4,0.00,36,-44,44
17Networks_RH_ContA_PFCd_1,0.00,24,10,58
17Networks_RH_ContA_PFCl_1,0.00,50,30,18
17Networks_RH_ContA_PFCl_2,0.00,48,18,24
17Networks_RH_ContA_PFCl_3,0.00,48,28,28
17Networks_RH_ContA_PFCl_4,0.00,48,8,24
17Networks_RH_ContA_PFCl_5,0.00,38,10,34
17Networks_RH_ContA_Cingm_1,0.00,4,2,30
17Networks_RH_DefaultB_Temp_1,0.00,64,-24,-8
17Networks_RH_DefaultB_Temp_2,0.00,64,-38,0
17Networks_RH_DefaultB_AntTemp_1,0.00,50,8,-32
17Networks_RH_DefaultB_PFCd_1,0.00,6,58,30
17Networks_RH_DefaultB_PFCd_2,0.00,16,52,36
17Networks_RH_DefaultB_PFCd_3,0.00,4,44,40
17Networks_RH_DefaultB_PFCd_4,0.00,14,38,52
17Networks_RH_DefaultB_PFCd_5,0.00,12,20,62
17Networks_RH_DefaultB_PFCv_1,0.00,34,22,-18
17Networks_RH_DefaultB_PFCv_2,0.00,48,32,-8
17Networks_RH_DefaultB_PFCv_3,0.00,54,24,6
17Networks_RH_DefaultC_IPL_1,0.00,48,-64,22
17Networks_RH_DefaultC_IPL_2,0.00,46,-76,30
17Networks_RH_DefaultC_Rsp_1,0.00,14,-46,4
17Networks_RH_DefaultC_Rsp_2,0.00,12,-56,16
17Networks_RH_DefaultC_PHC_1,0.00,22,-18,-28
17Networks_RH_DefaultC_PHC_2,0.00,30,-30,-18
17Networks_RH_TempPar_1,0.00,48,16,-20
17Networks_RH_TempPar_2,0.00,54,-4,-14
17Networks_RH_TempPar_3,0.00,48,-20,-8
17Networks_RH_TempPar_4,0.00,62,-18,0
17Networks_RH_TempPar_5,0.00,50,-34,2
17Networks_RH_TempPar_6,0.00,60,-46,6
17Networks_RH_TempPar_7,0.00,52,-40,12
17Networks_RH_TempPar_8,0.00,64,-34,10
17Networks_RH_TempPar_9,0.00,54,-46,20
17Networks_RH_TempPar_10,0.00,62,-40,22
